,0,1
0,bf_type,0.0004161348644965113
2,bf_type,0.0007971053344421062
4,bf_type,0.000113575378211107
6,bf_type,-0.0005074849197634818
8,bf_type,-0.00022483032674326027
10,bf_type,8.558405502096325e-05
12,bf_type,-0.00010638641947947485
14,bf_type,8.389286191071952e-05
16,bf_type,0.00026630751907687217
18,bf_type,0.00018325318605481885
20,bf_type,0.00030374354576928717
22,bf_type,0.0004765041093340209
24,bf_type,8.439912917722309e-05
26,bf_type,-0.0002449260367831359
28,bf_type,0.00046064859771463183
30,bf_type,5.8907047492534486e-05
32,bf_type,-0.00017738365897350733
34,bf_type,0.00010426013494806633
36,bf_type,8.278190271210145e-05
38,bf_type,0.0003558115748972615
40,bf_type,-0.00016009361731701685
42,bf_type,-0.000393644306475781
44,bf_type,0.0003001910332676519
46,bf_type,-0.00022184427816617161
48,bf_type,-0.00013419214061558406
50,bf_type,-8.582272834652839e-05
52,bf_type,0.0001059422876202292
54,bf_type,-0.00013017550306122105
56,bf_type,-6.916535475775997e-05
58,bf_type,4.4326495174322196e-05
60,bf_type,-2.1845790629371202e-05
62,bf_type,-0.00020955588957833208
64,bf_type,-0.0006007312592182152
66,bf_type,-3.7596699079825946e-05
68,bf_type,0.00013129989457368724
70,bf_type,-0.0001340782580708873
72,bf_type,-0.00010624071551945834
74,bf_type,0.0006077907438844078
76,bf_type,2.8961921271536193e-05
78,bf_type,0.00012202119873921098
80,bf_type,-0.0008225590049917922
82,bf_type,-0.00023648437276418824
84,bf_type,-0.0003175907320228679
86,bf_type,0.00039710043787098036
88,bf_type,0.00021692747015947744
90,bf_type,0.0005414560517687564
92,bf_type,-0.000773512101525516
94,bf_type,0.0004915788044890898
96,bf_type,0.00027454250369208323
98,bf_type,0.0002306824109174253
100,bf_type,-0.00020033691588210327
102,bf_type,0.0003301874459405972
104,bf_type,0.000283372358932023
106,bf_type,0.0007242505807468467
108,bf_type,-0.0002858846915663989
110,bf_type,-0.00014590743634981275
112,bf_type,-9.165518503864898e-05
114,bf_type,0.00029454164130844206
116,bf_type,-0.0006101345384909793
118,bf_type,0.00020348834174076008
120,bf_type,0.00024127425379190292
122,bf_type,0.0003230285739896601
124,bf_type,0.00019889291902685672
126,bf_type,-0.00030170356993711287
128,bf_type,-0.000138470042739032
130,bf_type,-0.00047584067854627825
132,bf_type,0.00010926790760278059
134,bf_type,5.647596391906315e-05
136,bf_type,0.00022104565658394515
138,bf_type,6.291261979209208e-05
140,bf_type,-0.0003176293077722755
142,bf_type,0.00020652722647112015
144,bf_type,-0.0003128591498822227
146,bf_type,-9.02831091666548e-05
148,bf_type,-0.0004230714388243082
150,bf_type,-0.00013294803762676125
152,bf_type,0.00022044566730482145
154,bf_type,-0.00014111016869279783
156,bf_type,-0.0004626536417378297
158,bf_type,0.00025879806639290975
160,bf_type,-8.77638650850297e-05
162,bf_type,-0.00010840107479188404
164,bf_type,0.00038126017470826865
166,bf_type,0.0005563385337979999
168,bf_type,0.0002701216906509208
170,bf_type,-7.27427228494842e-05
172,bf_type,-0.0003016047467370091
174,bf_type,1.6136734219466404e-07
176,bf_type,0.0002528997162813477
178,bf_type,8.334891664346773e-06
180,bf_type,-0.00044602901611684074
182,bf_type,-0.00023906234633189755
184,bf_type,-0.0002383084209356812
186,bf_type,9.065705641241143e-05
188,bf_type,0.0006795005329806327
190,bf_type,-5.6842238250110256e-05
192,bf_type,0.00010117702915496946
194,bf_type,0.0005596884972671035
196,bf_type,-0.0005396996357149464
198,bf_type,-8.187606945431842e-06
200,bf_type,-0.0004202621143783028
202,bf_type,0.00030755289468365274
204,bf_type,0.00010900047096026316
206,bf_type,-0.0010379681184128312
208,bf_type,0.00026380697857956493
210,bf_type,-0.00017575519511331522
212,bf_type,-0.00035508240293072145
214,bf_type,-4.160752994380977e-05
216,bf_type,0.00031058701702668754
218,bf_type,-0.00020500019394520725
220,bf_type,0.0006190643497245689
