,sID,Bigram #,Trial #,Bigram,IKI,string,resp_string,rep #
0,p09,0,0,'t' 'h',0.03198889800114557,think,think,0
1,p09,1,0, 'h' 'i',0.17605206000735052,think,think,0
2,p09,2,0, 'i' 'n',0.18395133697777055,think,think,0
3,p09,3,0, 'n' 'k',0.4239974840020295,think,think,0
4,p09,4,1,'b' 'u',0.34392858302453533,buddy,buddy,0
5,p09,5,1, 'u' 'd',0.6800085849827155,buddy,buddy,0
6,p09,6,1, 'd' 'd',0.1439760909997858,buddy,buddy,0
7,p09,7,1, 'd' 'y',0.06399119601701386,buddy,buddy,0
8,p09,8,2,'t' 'i',0.07999319600639865,tithe,tithe,0
9,p09,9,2, 'i' 't',0.37595840901485644,tithe,tithe,0
10,p09,10,2, 't' 'h',0.056050816987408325,tithe,tithe,0
11,p09,11,2, 'h' 'e',0.11195612698793411,tithe,tithe,0
12,p09,12,3,'k' 't',0.12006320001091808,kremp,ktremp,0
13,p09,13,3, 't' 'r',0.45593244198244065,kremp,ktremp,0
14,p09,14,3, 'r' 'e',0.19202195000252686,kremp,ktremp,0
15,p09,15,3, 'e' 'm',0.2560277890006546,kremp,ktremp,0
16,p09,16,3, 'm' 'p',0.30402295500971377,kremp,ktremp,0
17,p09,17,4,'t' 'h',0.04799818602623418,therm,theerm,0
18,p09,18,4, 'h' 'e',0.09593752599903382,therm,theerm,0
19,p09,19,4, 'e' 'e',0.1760347449744586,therm,theerm,0
20,p09,20,4, 'e' 'r',0.3679943510214798,therm,theerm,0
21,p09,21,4, 'r' 'm',0.0879630759882275,therm,theerm,0
22,p09,22,5,'h' 'a',0.12794244699762203,haole,haole,0
23,p09,23,5, 'a' 'o',0.6560552729933988,haole,haole,0
24,p09,24,5, 'o' 'l',0.39194344301358797,haole,haole,0
25,p09,25,5, 'l' 'e',0.056073154002660885,haole,haole,0
26,p09,26,6,'c' 'h',0.08006015600403771,champ,champ,0
27,p09,27,6, 'h' 'a',0.07994988901191391,champ,champ,0
28,p09,28,6, 'a' 'm',0.33605290699051693,champ,champ,0
29,p09,29,6, 'm' 'p',0.19998045000829734,champ,champ,0
30,p09,30,7,'c' 'o',0.09599572798470035,cooed,cooed,0
31,p09,31,7, 'o' 'o',0.1280595650023315,cooed,cooed,0
32,p09,32,7, 'o' 'e',0.07988971800659783,cooed,cooed,0
33,p09,33,7, 'e' 'd',0.1760044579859823,cooed,cooed,0
34,p09,34,8,'t' 'h',0.07196176599245518,there,there,0
